[Wed Oct 12 08:54:40.694893 2016] [:error] [pid 18649] [client 127.0.0.1:52752] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/edit.php
[Wed Oct 12 08:54:47.325926 2016] [:error] [pid 18817] [client 127.0.0.1:52749] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/index.php
[Wed Oct 12 08:54:47.325994 2016] [:error] [pid 18817] [client 127.0.0.1:52749] PHP Stack trace:, referer: http://test.local/index.php
[Wed Oct 12 08:54:47.326017 2016] [:error] [pid 18817] [client 127.0.0.1:52749] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/index.php
[Wed Oct 12 08:54:50.681547 2016] [:error] [pid 18774] [client 127.0.0.1:52751] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/edit.php
[Wed Oct 12 08:54:50.681590 2016] [:error] [pid 18774] [client 127.0.0.1:52751] PHP Stack trace:, referer: http://test.local/edit.php
[Wed Oct 12 08:54:50.681599 2016] [:error] [pid 18774] [client 127.0.0.1:52751] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/edit.php
[Wed Oct 12 08:54:52.394331 2016] [:error] [pid 18655] [client 127.0.0.1:52753] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/edit.php?more_langs=yes
[Wed Oct 12 08:54:52.394369 2016] [:error] [pid 18655] [client 127.0.0.1:52753] PHP Stack trace:, referer: http://test.local/edit.php?more_langs=yes
[Wed Oct 12 08:54:52.394380 2016] [:error] [pid 18655] [client 127.0.0.1:52753] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/edit.php?more_langs=yes
[Wed Oct 12 08:55:02.436778 2016] [:error] [pid 1917] [client 127.0.0.1:52757] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/edit.php?lang=pt
[Wed Oct 12 08:55:02.436811 2016] [:error] [pid 1917] [client 127.0.0.1:52757] PHP Stack trace:, referer: http://test.local/edit.php?lang=pt
[Wed Oct 12 08:55:02.436819 2016] [:error] [pid 1917] [client 127.0.0.1:52757] PHP   1. {main}() /home/tania/projects/test/add/edit.php:0, referer: http://test.local/edit.php?lang=pt
[Wed Oct 12 08:55:11.886652 2016] [:error] [pid 18743] [client 127.0.0.1:52763] PHP Notice:  Undefined variable: myrow in /home/tania/projects/test/add/edit.php on line 244, referer: http://test.local/index.php
[Wed Oct 12 08:55:11.886688 2016] [:error] [pid 18743] [client 127.0.0.1:52763] PHP Stack trace:, referer: http://test.local/index.php
